Formula
Sn2H2
TiIBr
TiICl
TiBrCl
ZrIBr
HfIBr
InAs
ZrICl
HfICl
BP
ZrBrCl
HfBrCl
P4
BiIS
SbIS
InP
Si2F2
BiBrS
Ge2H2
AsIS
SbBrS
Si2Se2
GaAs
AsBrS
BiClS
SbClS
AsClS
Si2S2
AlAs
GaP
SnO
PbS
PbO
Si2H2
GeO
SnS
GeBr2
GeS
GaN
SiF2C
AlN
PbF2
SiCH2
H2C2
BN
C2F2
SrF2
Mn2O2
Bi2O2
CrO2
Sc2O2
In2O2
Cr2O2
MoO2
Al2O2
WO2
SnO2
PbO2
PtO2
Ga2O2
ScO2
SnO2
TiO2
TiO2
GeO2
ZrO2
HfO2
ScBr2
FeBr2
PtBr2
CoBr2
PdBr2
TiBr2
FeBr2
ZrBr2
HfBr2
RuBr2
NiBr2
MnBr2
HgBr2
SnBr2
PbBr2
SnBr2
PbBr2
CdBr2
ZnBr2
ZnBr2
MgBr2
SrBr2
CaBr2
MgBr2
CaBr2
ScCl2
TiCl2
ZrCl2
HfCl2
PtCl2
PdCl2
RuCl2
OsCl2
NiCl2
HgCl2
SnCl2
SnCl2
PbCl2
PbCl2
CdCl2
ZnCl2
ZnCl2
MgCl2
SrCl2
CaCl2
BaCl2
SrCl2
MgCl2
CaCl2
TiI2
FeI2
HfI2
ZrI2
RuI2
HgI2
PbI2
SnI2
CdI2
SnI2
PbI2
GeI2
ZnI2
CdI2
MgI2
MgI2
CaI2
SrI2
CaI2
Ir2S2
Sc2S2
CrS2
Tl2S2
PbS2
NiS2
TiS2
Pb2S2
GeS2
SnS2
WS2
Sn2S2
MoS2
ScS2
ZrS2
HfS2
ZrS2
HfS2
PtS2
In2S2
SnS2
Ga2S2
Al2S2
Ga2S2
CrSeS
TiSeS
BiISe
SbISe
BiBrSe
SbBrSe
HfSeS
BiSeCl
ZrSeS
AsBrSe
WSeS
MoSeS
SbSeCl
AsSeCl
PbSe
SnSe
GeSe
Rh2Se2
PbSe2
Sc2Se2
CrSe2
Tl2Se2
Cu2Se2
PbSe2
PdSe2
Pb2Se2
ZrSe2
HfSe2
SnSe2
WSe2
HfSe2
MoSe2
ScSe2
PtSe2
In2Se2
Ga2Se2
Al2Se2
Ti2Te2
Mn2Te2
HfTe2
CrTe2
ZrTe2
PtTe2
Pb2Te2
WTe2
MoTe2
In2Te2
Ga2Te2
Al2Te2
CrTeS
ZrTeS
HfTeSe
ZrTeSe
BiITe
SbITe
BiTeBr
BiTeCl
AsITe
WTeSe
PbTe
SbTeBr
AsTeBr
SbTeCl
AsTeCl
GeTe
SnTe
